App,TestFilePath,ProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Wait And See,Eager Test,Lazy Test,Lazy Assert,Unknown Test
21042_4.0_hadoop_testquota,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21042_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21042_actual.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,true
21030_4.0_hadoop_testserialization,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21030_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/21030_actual.java,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
22713_4.0_hadoop_testmovercli,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22713_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22713_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
22714_4.0_hadoop_testmovercliwithhaconf,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22714_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22714_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
22729_4.0_hadoop_testmoverwhenstoragepolicyunset,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22729_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22729_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
22723_4.0_hadoop_testmoverwithstripedfile,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22723_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22723_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
22719_4.0_hadoop_testmovewhenstoragepolicysatisfierisrunning,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22719_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22719_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
22711_4.0_hadoop_testscheduleblockwithinsamenode,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22711_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22711_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
22706_4.0_hadoop_testwithfederateclusterwithinsamenode,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22706_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22706_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
22707_4.0_hadoop_testwithfederatedcluster,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22707_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22707_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
22708_4.0_hadoop_testwithfederatedhacluster,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22708_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22708_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false
20193_4.0_hadoop_testothernodenotactive,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20193_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20193_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false
20191_4.0_hadoop_testsharededitsmissinglogs,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20191_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20191_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false
20192_4.0_hadoop_teststandbydirsalreadyexist,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20192_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20192_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false
20189_4.0_hadoop_testsuccessfulbasecase,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20189_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20189_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false
20180_4.0_hadoop_testnonrandomgetproxy,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20180_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20180_actual.java,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
20181_4.0_hadoop_testrandomgetproxy,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20181_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20181_actual.java,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
20208_4.0_hadoop_testnn0triggerslogrolls,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20208_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20208_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,true
20216_4.0_hadoop_testrolledittimeoutforactivenn,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20216_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20216_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,true
20221_4.0_hadoop_teststartnnwithtrashemptier,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20221_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20221_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
20166_4.0_hadoop_testfilenotfoundexceptionwithsingleproxy,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20166_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20166_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false
20173_4.0_hadoop_testhedgingwhenconnectexception,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20173_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20173_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false
20160_4.0_hadoop_testhedgingwhenoneisslow,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20160_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20160_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false
20167_4.0_hadoop_testsingleproxyfailover,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20167_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20167_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false
22584_4.0_hadoop_testcorruptblock,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22584_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22584_actual.java,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,true,false
22600_4.0_hadoop_testeditlogtailing,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22600_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22600_actual.java,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,true,false
22587_4.0_hadoop_testmissingblock,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22587_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22587_actual.java,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,true,false
22597_4.0_hadoop_testnumactiveclientsandfilesunderconstructionmetrics,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22597_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22597_actual.java,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,true,false
22596_4.0_hadoop_testreadwriteops,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22596_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22596_actual.java,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,true,false
22595_4.0_hadoop_testsyncandblockreportmetric,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22595_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22595_actual.java,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,true,false
22593_4.0_hadoop_testtransactionsincelastcheckpointmetrics,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22593_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22593_actual.java,true,true,false,false,false,true,true,true,false,false,false,false,true,false,false,true,false
22654_4.0_hadoop_testremoverandom,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22654_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22654_actual.java,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
22679_4.0_hadoop_testallowanddisallowsnapshot,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22679_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22679_actual.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
22674_4.0_hadoop_testofflineimageviewer,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22674_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22674_actual.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
22624_4.0_hadoop_testdiffreportwithopenfiles,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22624_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22624_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false
22619_4.0_hadoop_testdiffreportwithrenameandappend,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22619_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22619_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false
22620_4.0_hadoop_testdiffreportwithrenameandsnapshotdeletion,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22620_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22620_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false
22632_4.0_hadoop_testdiffreportwithrpclimit,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22632_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22632_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false
22633_4.0_hadoop_testdiffreportwithrpclimit2,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22633_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22633_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false
22613_4.0_hadoop_testsnapshotdiffinfo,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22613_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22613_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false
22636_4.0_hadoop_testsnapshotdiffreportremoteiterator2,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22636_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22636_actual.java,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false
22689_4.0_hadoop_testcounter,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22689_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22689_actual.java,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false
22694_4.0_hadoop_teststatus,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22694_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22694_actual.java,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false
22695_4.0_hadoop_teststepsequence,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22695_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22695_actual.java,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false
22687_4.0_hadoop_testfinalstate,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22687_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/22687_actual.java,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
20716_4.0_hadoop_testfilteraclentriesbyaclspecautomaticdefaultother,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20716_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20716_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20712_4.0_hadoop_testfilteraclentriesbyaclspecdefaultmaskpreserved,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20712_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20712_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20720_4.0_hadoop_testfilteraclentriesbyaclspecinputtoolarge,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20720_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20720_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20719_4.0_hadoop_testfilteraclentriesbyaclspecremovedefaultmaskrequired,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20719_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20719_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20731_4.0_hadoop_testmergeaclentriesautomaticdefaultuser,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20731_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20731_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20737_4.0_hadoop_testmergeaclentriesinputtoolarge,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20737_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20737_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20749_4.0_hadoop_testreplaceaclentriesaccessmaskpreserved,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20749_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20749_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20750_4.0_hadoop_testreplaceaclentriesautomaticdefaultuser,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20750_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20750_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20747_4.0_hadoop_testreplaceaclentriesdefaultmaskcalculated,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20747_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20747_actual.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
20902_4.0_hadoop_testauditlogforacls,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20902_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20902_actual.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
20573_4.0_hadoop_testbackupnode,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20573_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20573_actual.java,true,true,false,false,false,true,false,true,false,true,false,false,false,false,false,false,true
20569_4.0_hadoop_testbackupnodetailsedits,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20569_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20569_actual.java,true,true,false,false,false,true,false,true,false,true,false,false,false,false,false,false,true
20593_4.0_hadoop_testchoosetarget,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20593_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20593_actual.java,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true
20654_4.0_hadoop_testrawwrites,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20654_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20654_actual.java,false,true,false,false,false,true,false,false,false,false,false,false,false,true,true,false,true
20695_4.0_hadoop_testaskfortransactionsmidfile,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20695_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20695_actual.java,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false
20690_4.0_hadoop_testinprogressrecoverymixed,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20690_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20690_actual.java,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false
20703_4.0_hadoop_testreadfrommiddleofeditlog,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20703_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20703_actual.java,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false
20777_4.0_hadoop_testinodexattrslimit,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20777_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20777_actual.java,true,true,false,false,false,true,true,false,true,false,false,false,false,false,false,true,true
20780_4.0_hadoop_testxattrmultisetremove,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20780_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20780_actual.java,true,true,false,false,false,true,true,false,true,false,false,false,false,false,false,true,true
20633_4.0_hadoop_testdisplayrecenteditlogopcodes,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20633_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20633_actual.java,true,true,false,false,false,true,false,true,false,false,true,false,false,false,false,true,true
20644_4.0_hadoop_testfseditlogopcodes,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20644_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20644_actual.java,true,true,false,false,false,true,false,true,false,false,true,false,false,false,false,true,true
20641_4.0_hadoop_testvalidateeditlogwithcorruptbody,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20641_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20641_actual.java,true,true,false,false,false,true,false,true,false,false,true,false,false,false,false,true,true
20642_4.0_hadoop_testvalidateemptyeditlog,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20642_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20642_actual.java,true,true,false,false,false,true,false,true,false,false,true,false,false,false,false,true,true
20616_4.0_hadoop_testblocktypeprotodefaultstocontiguous,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20616_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20616_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true
20610_4.0_hadoop_testctime,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20610_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20610_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true
20608_4.0_hadoop_testdigest,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20608_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20608_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true
20615_4.0_hadoop_testhasnonecblockusingstripedidforloadsnapshot,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20615_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20615_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true
20599_4.0_hadoop_testpersist,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20599_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20599_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true
20618_4.0_hadoop_testsaveandloaderasurecodingpolicies,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20618_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20618_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true
20617_4.0_hadoop_testsaveandloadfileunderreplicationpolicydir,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20617_test.java,/Users/codermehraj/Documents/codes/thesis/code-test-pair-for-tsDetect/downloaded_files/20617_actual.java,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true
